refseq,ncbi,ncbi2,ncbi3
NP_001001398.2,30560,,
NP_001001399.2,83414,,
NP_001001400.1,326866,,
NP_001001401.1,327206,,
NP_001001402.2,327531,,
NP_001001403.2,334466,,
NP_001001404.1,334582,,
NP_001001405.1,405792,,
NP_001001406.1,406626,,
NP_001001409.2,408256,,
NP_001001501.2,402875,,
NP_001001589.1,322549,,
NP_001001590.1,322571,,
NP_001001591.1,324303,,
NP_001001593.1,335539,,
NP_001001594.2,336597,,
NP_001001595.1,368846,,
NP_001001596.1,414333,,
NP_001001724.1,321232,,
NP_001001725.1,321855,,
NP_001001727.1,414273,,
NP_001001729.1,414329,,
NP_001001730.2,414331,,
NP_001001811.2,30529,,
NP_001001812.1,195820,,
NP_001001813.1,321696,,
NP_001001814.1,321965,,
NP_001001815.1,324215,,
NP_001001816.2,324961,,
NP_001001817.1,327284,,
NP_001001818.1,336421,,
NP_001001819.1,337148,,
NP_001001820.1,570746,,
NP_001001822.1,368415,,
NP_001001823.2,402828,,
NP_001001825.2,792197,,
NP_001001826.2,403033,,
NP_001001828.2,414843,,
NP_001001829.1,414844,,
NP_001001830.2,414848,,
NP_001001831.1,414850,,
NP_001001832.1,414929,,
NP_001001833.2,414930,,
NP_001001834.2,414931,,
NP_001001836.1,415096,,
NP_001001837.1,415097,,
NP_001001838.1,415098,,
NP_001001839.2,415099,,
NP_001001840.2,415100,,
NP_001001841.2,415101,,
NP_001001842.1,415102,,
NP_001001843.2,415103,,
NP_001001844.1,415104,,
NP_001001845.2,415105,,
NP_001001846.1,415106,,
NP_001001847.2,415107,,
NP_001001848.1,415108,,
NP_001001849.1,100000322,,
NP_001001886.1,406790,,
NP_001001889.1,324004,,
NP_001001940.1,114454,,
NP_001001941.2,260439,,
NP_001001942.1,321357,,
NP_001001943.1,321695,,
NP_001001944.2,321940,,
NP_001001946.3,322482,,
NP_001001947.1,335722,,
NP_001001948.1,335750,,
NP_001001950.1,368263,,
NP_001001951.1,402913,,
NP_001002013.1,338138,,
NP_001002037.2,80965,,
NP_001002038.2,353363,,
NP_001002040.1,399483,,
NP_001002041.1,402800,,
NP_001002042.2,321277,,
NP_001002043.1,415131,,
NP_001002044.2,415133,,
NP_001002045.1,415134,,
NP_001002046.1,415135,,
NP_001002047.1,415137,,
NP_001002048.1,415138,,
NP_001002049.1,415139,,
NP_001002050.2,415140,,
NP_001002051.1,415141,,
NP_001002052.1,415142,,
NP_001002053.1,368925,,
NP_001002055.1,415145,,
NP_001002056.1,415146,,
NP_001002057.2,415147,,
NP_001002058.1,415148,,
NP_001002059.1,415149,,
NP_001002060.1,415150,,
NP_001002061.1,415151,,
NP_001002062.1,415152,,
NP_001002063.1,415153,,
NP_001002064.1,321947,,
NP_001002065.1,415155,,
NP_001002066.1,570210,,
NP_001002067.1,415157,,
NP_001002068.1,415158,,
NP_001002069.1,415159,,
NP_001002070.1,368737,,
NP_001002071.1,415161,,
NP_001002072.1,415162,,
NP_001002073.1,415163,,
NP_001002075.1,415165,,
NP_001002076.1,415166,,
NP_001002077.1,415167,,
NP_001002078.1,415168,,
NP_001002079.1,415169,,
NP_001002080.1,415170,,
NP_001002081.1,415171,,
NP_001002082.1,326701,,
NP_001002083.1,100000855,,
NP_001002084.1,415174,,
NP_001002085.1,415175,,
NP_001002086.1,415176,,
NP_001002087.1,415177,,
NP_001002088.1,415178,,
NP_001002089.1,415179,,
NP_001002090.1,415180,,
NP_001002091.1,415181,,
NP_001002092.1,415182,,
NP_001002093.1,415183,,
NP_001002094.2,415184,,
NP_001002095.1,415185,,
NP_001002096.1,415186,,
NP_001002097.1,415187,,
NP_001002098.1,415188,,
NP_001002099.1,415189,,
NP_001002100.1,415190,,
NP_001002101.1,415191,,
NP_001002102.1,415192,,
NP_001002103.1,415193,,
NP_001002104.1,415194,,
NP_001002105.1,415195,,
NP_001002106.1,415196,,
NP_001002107.2,415197,,
NP_001002108.2,791987,,
NP_001002110.1,415200,,
NP_001002111.1,415201,,
NP_001002112.1,415202,,
NP_001002113.1,415203,,
NP_001002114.1,415204,,
NP_001002115.1,415205,,
NP_001002116.1,415206,,
NP_001002117.1,415207,,
NP_001002118.1,415208,,
NP_001002119.1,415209,,
NP_001002120.1,415210,,
NP_001002121.1,415211,,
NP_001002122.1,,,
NP_001002123.1,415213,,
NP_001002124.1,415214,,
NP_001002125.1,415215,,
NP_001002126.2,415216,,
NP_001002127.2,415217,,
NP_001002128.1,323500,,
NP_001002129.2,415219,,
NP_001002130.1,415220,,
NP_001002131.1,415221,,
NP_001002132.1,415222,,
NP_001002133.1,415223,,
NP_001002134.1,415224,,
NP_001002135.1,415225,,
NP_001002137.1,415227,,
NP_001002138.1,415228,,
NP_001002139.1,415229,,
NP_001002140.1,100150980,,
NP_001002141.1,415231,,
NP_001002142.1,415232,,
NP_001002143.2,791770,,
NP_001002144.1,415234,,
NP_001002145.1,415235,,
NP_001002146.1,415236,,
NP_001002147.1,415237,,
NP_001002148.1,415238,,
NP_001002149.1,415239,,
NP_001002150.1,415240,,
NP_001002151.2,415241,,
NP_001002152.1,415242,,
NP_001002153.2,415243,,
NP_001002154.1,415244,,
NP_001002155.1,336568,,
NP_001002156.1,,,
NP_001002157.1,415247,,
NP_001002158.1,415248,,
NP_001002159.1,415249,,
NP_001002160.2,415250,,
NP_001002161.2,415251,,
NP_001002162.1,415252,,
NP_001002163.1,415253,,
NP_001002164.1,415254,,
NP_001002165.1,415255,,
NP_001002166.2,415256,,
NP_001002167.1,431714,,
NP_001002168.1,431715,,
NP_001002169.1,431716,,
NP_001002170.1,431717,,
NP_001002171.1,431718,,
NP_001002172.2,431719,,
NP_001002173.1,431720,,
NP_001002174.1,431721,,
NP_001002175.1,431722,,
NP_001002176.1,431723,,
NP_001002177.1,431724,,
NP_001002178.1,431725,,
NP_001002179.1,431726,,
NP_001002180.1,431727,,
NP_001002181.1,100004977,,
NP_001002182.1,431729,,
NP_001002183.1,431730,,
NP_001002184.1,431731,,
NP_001002185.1,431732,,
NP_001002186.1,431733,,
NP_001002187.1,431734,,
NP_001002188.1,431735,,
NP_001002189.1,431736,,
NP_001002190.1,431737,,
NP_001002191.1,431738,,
NP_001002192.1,431739,,
NP_001002193.1,431740,,
NP_001002194.1,431741,,
NP_001002195.1,100006341,,
NP_001002196.1,431743,,
NP_001002197.1,431744,,
NP_001002198.1,557659,,
NP_001002199.1,431746,,
NP_001002200.2,431747,,
NP_001002201.1,431748,,
NP_001002202.1,431749,,
NP_001002203.1,431750,,
NP_001002204.1,431751,,
NP_001002205.1,368670,,
NP_001002206.1,798993,,
NP_001002207.1,431754,,
NP_001002208.1,431755,,
NP_001002209.1,431756,,
NP_001002210.1,431757,,
NP_001002211.1,431758,,
NP_001002212.1,431759,,
NP_001002213.1,100151626,431760,
NP_001002215.2,431762,,
NP_001002216.1,431763,,
NP_001002217.1,431764,,
NP_001002218.1,431765,,
NP_001002219.1,431766,,
NP_001002220.1,431767,,
NP_001002221.1,431768,,
NP_001002222.2,431769,,
NP_001002223.1,431770,,
NP_001002224.1,792402,,
NP_001002225.2,431772,,
NP_001002226.1,431773,,
NP_001002227.1,431774,,
NP_001002228.1,798402,,
NP_001002229.2,431776,,
NP_001002230.1,431777,,
NP_001002297.1,321897,,
NP_001002298.1,325704,,
NP_001002299.2,335096,,
NP_001002300.1,336578,,
NP_001002301.2,432371,,
NP_001002302.1,432373,,
NP_001002303.1,432374,,
NP_001002304.1,432375,,
NP_001002305.1,432376,,
NP_001002306.1,432383,,
NP_001002307.1,432384,,
NP_001002308.1,432385,,
NP_001002309.1,432386,,
NP_001002310.1,432387,,
NP_001002311.1,432388,,
NP_001002312.1,432389,,
NP_001002313.1,432390,,
NP_001002314.1,436585,,
NP_001002315.1,436586,,
NP_001002316.2,436587,,
NP_001002317.2,436588,,
NP_001002318.1,436590,,
NP_001002319.1,792145,,
NP_001002320.1,436592,,
NP_001002321.1,436593,,
NP_001002322.1,436594,,
NP_001002323.1,436595,,
NP_001002324.1,436596,,
NP_001002325.1,436597,,
NP_001002326.1,436598,,
NP_001002327.1,323827,,
NP_001002328.1,436600,,
NP_001002329.1,436601,,
NP_001002330.2,436602,,
NP_001002331.1,436603,,
NP_001002332.1,436604,,
NP_001002333.1,436605,,
NP_001002334.1,798836,,
NP_001002335.1,436607,,
NP_001002336.1,436608,,
NP_001002337.1,436609,,
NP_001002338.1,436610,,
NP_001002339.1,436611,,
NP_001002340.1,436612,,
NP_001002341.1,368856,,
NP_001002342.1,436614,,
NP_001002343.1,436615,,
NP_001002345.1,436617,,
NP_001002346.1,436618,,
NP_001002347.1,436619,,
NP_001002348.1,436620,,
NP_001002349.1,436621,,
NP_001002350.1,436622,,
NP_001002351.1,436624,,
NP_001002352.1,436625,,
NP_001002353.1,436626,,
NP_001002354.1,436627,,
NP_001002355.1,436628,,
NP_001002356.1,436629,,
NP_001002357.1,436630,,
NP_001002358.1,436631,,
NP_001002359.1,436632,,
NP_001002360.1,436633,,
NP_001002361.2,436634,,
NP_001002362.2,436635,,
NP_001002363.1,436636,,
NP_001002364.1,436637,,
NP_001002365.1,436638,,
NP_001002366.1,436639,,
NP_001002367.1,436640,,
NP_001002368.1,436641,,
NP_001002369.1,436642,,
NP_001002370.1,436643,,
NP_001002371.1,436644,,
NP_001002372.1,436645,,
NP_001002373.1,436646,,
NP_001002374.1,436647,,
NP_001002375.1,436648,,
NP_001002376.1,436649,,
