accession	db	ensdarg
Q5PRD0	Ensembl	ENSDARG00000013078
Q6PC29	Ensembl	ENSDARG00000067626
Q6NY64	Ensembl	ENSDARG00000102009
Q98TT6	Ensembl	ENSDARG00000041607
Q1LUC1	Ensembl	ENSDARG00000035918
Q6PD83	Ensembl	ENSDARG00000010481
Q7ZWC3	Ensembl	ENSDARG00000030573
Q6AZW2	Ensembl	ENSDARG00000035257
Q7ZVB2	Ensembl	ENSDARG00000069100
Q7ZVB2	Ensembl	ENSDARG00000114905
Q802W2	Ensembl	ENSDARG00000037061
A3QK15	Ensembl	ENSDARG00000012468
Q502H1	Ensembl	ENSDARG00000103957
Q7SYK7	Ensembl	ENSDARG00000041068
Q7SYK7	Ensembl	ENSDARG00000114282
Q7ZVZ7	Ensembl	ENSDARG00000058452
Q7ZVZ7	Ensembl	ENSDARG00000111161
E7F6F7	Ensembl	ENSDARG00000062795
F1RBC8	Ensembl	ENSDARG00000074876
Q08C93	Ensembl	ENSDARG00000071004
Q802V6	Ensembl	ENSDARG00000025797
Q6DRD9	Ensembl	ENSDARG00000069501
Q32LS6	Ensembl	ENSDARG00000059209
Q1LV46	Ensembl	ENSDARG00000058367
Q1LU93	Ensembl	ENSDARG00000070407
Q6TGV7	Ensembl	ENSDARG00000042876
Q1LVP6	Ensembl	ENSDARG00000043339
Q1LVP6	Ensembl	ENSDARG00000115196
Q1LVW0	Ensembl	ENSDARG00000063255
A5WV69	Ensembl	ENSDARG00000058410
Q9DDE3	Ensembl	ENSDARG00000031796
Q98880	Ensembl	ENSDARG00000009021
Q7ZVI7	Ensembl	ENSDARG00000037746
Q7ZVI7	Ensembl	ENSDARG00000113649
Q7ZVF9	Ensembl	ENSDARG00000037870
A8KB34	Ensembl	ENSDARG00000005154
Q6DHI0	Ensembl	ENSDARG00000093003
Q6DHQ3	Ensembl	ENSDARG00000005525
Q90WY6	Ensembl	ENSDARG00000069669
Q90WY6	Ensembl	ENSDARG00000109788
Q5RIV4	Ensembl	ENSDARG00000041944
A1A5X5	Ensembl	ENSDARG00000070681
F1QLG5	Ensembl	ENSDARG00000062002.5
F1QLG5	Ensembl	ENSDARG00000115617.1
A4QP16	Ensembl	ENSDARG00000060937.5
Q66HT8	Ensembl	ENSDARG00000019338
Q66HT8	Ensembl	ENSDARG00000110712
Q6NZ09	Ensembl	ENSDARG00000058560
Q7SXV2	Ensembl	ENSDARG00000006038
Q5CZR5	Ensembl	ENSDARG00000039099
A3KQS5	Ensembl	ENSDARG00000071026
Q7ZW00	Ensembl	ENSDARG00000009837
A3KPK0	Ensembl	ENSDARG00000063079
Q5RZ65	Ensembl	ENSDARG00000070480
E7FBY6	Ensembl	ENSDARG00000076994
Q6PBN2	Ensembl	ENSDARG00000014532
Q1L8G6	Ensembl	ENSDARG00000060768
E7F5F0	Ensembl	ENSDARG00000091073
E7FAP8	Ensembl	ENSDARG00000042815
Q7ZYX1	Ensembl	ENSDARG00000026862
Q7ZYX1	Ensembl	ENSDARG00000115058
Q66I21	Ensembl	ENSDARG00000036776
Q8JH70	Ensembl	ENSDARG00000019702
Q8JH71	Ensembl	ENSDARG00000053684
Q08BA6	Ensembl	ENSDARG00000063003
Q6IQE9	Ensembl	ENSDARG00000077253
F8W2C9	Ensembl	ENSDARG00000074387
Q6DGA6	Ensembl	ENSDARG00000042562
Q1LVQ7	Ensembl	ENSDARG00000062824
Q1LVQ7	Ensembl	ENSDARG00000110530
Q1LVQ7	Ensembl	ENSDARG00000115230
F1QGH6	Ensembl	ENSDARG00000075222
Q0P4D1	Ensembl	ENSDARG00000070478
Q0P4D1	Ensembl	ENSDARG00000111705
A1YB07	Ensembl	ENSDARG00000061923
E7FAG6	Ensembl	ENSDARG00000008322
X1WHY6	Ensembl	ENSDARG00000039878
Q7ZUP0	Ensembl	ENSDARG00000006487
Q6NUW5	Ensembl	ENSDARG00000054804
Q5RGT6	Ensembl	ENSDARG00000016743
P58368	Ensembl	ENSDARG00000014969
A2AV36	Ensembl	ENSDARG00000051902
A2AV36	Ensembl	ENSDARG00000116251
Q5RGQ2	Ensembl	ENSDARG00000045760
Q502M6	Ensembl	ENSDARG00000057159
Q502M6	Ensembl	ENSDARG00000112325
B0S794	Ensembl	ENSDARG00000011326
Q6TNT2	Ensembl	ENSDARG00000015780
Q6DGX3	Ensembl	ENSDARG00000055743
A5PMU4	Ensembl	ENSDARG00000003512
Q6NSN2	Ensembl	ENSDARG00000023712
Q5RJ20	Ensembl	ENSDARG00000023272
Q6P0E7	Ensembl	ENSDARG00000008861
Q6NWK2	Ensembl	ENSDARG00000002790
F1QY75	Ensembl	ENSDARG00000101285
Q4TTN8	Ensembl	ENSDARG00000053279
Q8JHE9	Ensembl	ENSDARG00000005612
Q8JHE9	Ensembl	ENSDARG00000111794
Q7SZP9	Ensembl	ENSDARG00000002172
A0T2N3	Ensembl	ENSDARG00000036670
O42363	Ensembl	ENSDARG00000012076
O42363	Ensembl	ENSDARG00000110395
O42364	Ensembl	ENSDARG00000040295
Q8JHI3	Ensembl	ENSDARG00000012763
Q502P0	Ensembl	ENSDARG00000105036
Q502P0	Ensembl	ENSDARG00000110324
