accession,entry_type,database,primary_id,secondary_id,isoform
A0A023GU64,TrEMBL,ZFIN,ZDB-GENE-080220-48,itga8,
A0A023GU65,TrEMBL,ZFIN,ZDB-GENE-080220-48,itga8,
A0A023PGP0,TrEMBL,Ensembl,ENSDART00000164375.2,ENSDARP00000135550.2,
A0A023PGP0,TrEMBL,ZFIN,ZDB-GENE-050522-220,bach1b,
A0A024F961,TrEMBL,ZFIN,ZDB-GENE-070112-991,pomgnt1,
A0A067YRN8,TrEMBL,ZFIN,ZDB-GENE-030131-3286,zfyve26,
A0A068EUV3,TrEMBL,ZFIN,ZDB-GENE-980526-253,mef2ca,
A0A068F1F8,TrEMBL,ZFIN,ZDB-GENE-980526-253,mef2ca,
A0A068FMS3,TrEMBL,ZFIN,ZDB-GENE-121214-302,ifit11,
A0A068FMS7,TrEMBL,ZFIN,ZDB-GENE-030131-1055,ifit15,
A0A068FUX0,TrEMBL,ZFIN,ZDB-GENE-120406-2,ifit12,
A0A068FUX4,TrEMBL,ZFIN,ZDB-GENE-051127-17,ifit8,
A0A075BWY1,TrEMBL,ZFIN,ZDB-GENE-141210-1,mcc,
A0A076GH28,TrEMBL,ZFIN,ZDB-GENE-040901-7,mef2cb,
A0A076JAE7,TrEMBL,ZFIN,ZDB-GENE-120514-2,marco,
A0A076NAB2,TrEMBL,ZFIN,ZDB-GENE-040317-1,rem1,
A0A076VF89,TrEMBL,ZFIN,ZDB-GENE-021115-5,ets1,
A0A077CZD0,TrEMBL,Ensembl,ENSDART00000170047.2,ENSDARP00000138822.1,
A0A077CZD0,TrEMBL,Ensembl,ENSDART00000185336.1,ENSDARP00000149546.1,
A0A077CZD0,TrEMBL,ZFIN,ZDB-GENE-050522-335,gtpbp3,
A0A077D3Q6,TrEMBL,Ensembl,ENSDART00000188999.1,ENSDARP00000155544.1,
A0A077D3Q6,TrEMBL,ZFIN,ZDB-GENE-050522-335,gtpbp3,
A0A088AWM4,TrEMBL,ZFIN,ZDB-GENE-050208-525,pdgfba,
A0A088GE60,TrEMBL,ZFIN,ZDB-GENE-000210-31,vdra,
A0A088GEY4,TrEMBL,ZFIN,ZDB-GENE-080403-10,vdrb,
A0A096UX82,TrEMBL,ZFIN,ZDB-GENE-991123-10,pth2ra,
A0A096X8J9,TrEMBL,ZFIN,ZDB-GENE-141006-1,slc4a3,
A0A097DC67,TrEMBL,ZFIN,ZDB-GENE-141212-325,syn3,
A0A0A0MPF3,TrEMBL,Ensembl,ENSDART00000021240.8,ENSDARP00000017747.8,
A0A0A0MPF3,TrEMBL,ZFIN,ZDB-GENE-021028-1,npm1a,
A0A0A0MPF8,TrEMBL,Ensembl,ENSDART00000024104.7,ENSDARP00000026640.6,
A0A0A0MPF8,TrEMBL,ZFIN,ZDB-GENE-020711-1,mycn,
A0A0A0MPG3,TrEMBL,Ensembl,ENSDART00000041349.6,ENSDARP00000041348.5,
A0A0A0MPG3,TrEMBL,ZFIN,ZDB-GENE-040801-16,crygn2,
A0A0A0MPG4,TrEMBL,Ensembl,ENSDART00000042674.7,ENSDARP00000042673.7,
A0A0A0MPG4,TrEMBL,ZFIN,ZDB-GENE-040426-2419,helz,
A0A0A0MPG5,TrEMBL,Ensembl,ENSDART00000044000.7,ENSDARP00000043999.5,
A0A0A0MPG5,TrEMBL,RefSeq,XP_017212842.1,XM_017357353.1,
A0A0A0MPG5,TrEMBL,ZFIN,ZDB-GENE-070613-1,plxna3,
A0A0A0MPG9,TrEMBL,Ensembl,ENSDART00000048164.6,ENSDARP00000048163.5,
A0A0A0MPG9,TrEMBL,ZFIN,ZDB-GENE-030131-9762,paics,
A0A0A0MPH2,TrEMBL,Ensembl,ENSDART00000052803.8,ENSDARP00000052802.7,
A0A0A0MPH2,TrEMBL,Ensembl,ENSDART00000186944.1,ENSDARP00000153511.1,
A0A0A0MPH2,TrEMBL,RefSeq,XP_017207496.1,XM_017352007.1,
A0A0A0MPH2,TrEMBL,RefSeq,XP_687779.4,XM_682687.7,
A0A0A0MPH2,TrEMBL,ZFIN,ZDB-GENE-060503-826,si:dkey-30c15.10,
A0A0A0MPH5,TrEMBL,Ensembl,ENSDART00000057918.8,ENSDARP00000057917.6,
A0A0A0MPH5,TrEMBL,ZFIN,ZDB-GENE-040724-228,si:ch211-147h1.4,
A0A0A0MPI0,TrEMBL,Ensembl,ENSDART00000060910.7,ENSDARP00000060909.5,
A0A0A0MPI0,TrEMBL,ZFIN,ZDB-GENE-041014-153,pimr138,
A0A0A0MPI2,TrEMBL,Ensembl,ENSDART00000062377.7,ENSDARP00000062376.6,
A0A0A0MPI2,TrEMBL,ZFIN,ZDB-GENE-041008-2,taf1b,
A0A0A0MPI4,TrEMBL,Ensembl,ENSDART00000062563.7,ENSDARP00000062562.5,
A0A0A0MPI4,TrEMBL,ZFIN,ZDB-GENE-070912-273,rreb1b,
A0A0A0MPI9,TrEMBL,Ensembl,ENSDART00000076309.5,ENSDARP00000070784.4,
A0A0A0MPI9,TrEMBL,ZFIN,ZDB-GENE-041014-369,nmbr,
A0A0A0MPJ0,TrEMBL,Ensembl,ENSDART00000078072.7,ENSDARP00000072535.6,
A0A0A0MPJ0,TrEMBL,ZFIN,ZDB-GENE-030131-9753,akap12b,
A0A0A0MPJ2,TrEMBL,Ensembl,ENSDART00000079035.6,ENSDARP00000073491.4,
A0A0A0MPJ2,TrEMBL,ZFIN,ZDB-GENE-080402-9,rap1gapa,
A0A0A0MPJ6,TrEMBL,Ensembl,ENSDART00000080372.6,ENSDARP00000074822.5,
A0A0A0MPJ6,TrEMBL,ZFIN,ZDB-GENE-100922-6,dbpb,
A0A0A0MPK2,TrEMBL,Ensembl,ENSDART00000090657.5,ENSDARP00000085090.4,
